Item Code,Part Code,Old Item Code,Item Description,Category,In-House Physical Stock,External Vendor Stock,Total Current Stock,Min Safety Stock Qty,Min Order Qty,Lead Time Days,Warehouse Location,Standard Valuation Rate (INR),Total Stock Asset Value (INR),QC Trigger
7000102700,7000102700,,FASTENER KIT BARREL PLATE ASSY - 2350,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
7000100400,7000100400,,FASTENER KIT BARREL PLATE ASSY - 280,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
7000100900,7000100900,,FASTENER KIT BARREL PLATE ASSY - 420,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
7000101400,7000101400,,FASTENER KIT BARREL PLATE ASSY - 635,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
7000101900,7000101900,,FASTENER KIT BARREL PLATE ASSY - 905,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
7000102500,7000102500,,FASTENER KIT BEARING HOUSING ASSY - 1520,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
7000102800,7000102800,,FASTENER KIT BEARING HOUSING ASSY - 2350,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
7000100500,7000100500,,FASTENER KIT BEARING HOUSING ASSY - 280,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
7000101000,7000101000,,FASTENER KIT BEARING HOUSING ASSY - 420,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
7000101500,7000101500,,FASTENER KIT BEARING HOUSING ASSY - 635,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
7000102000,7000102000,,FASTENER KIT BEARING HOUSING ASSY - 905,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
7000102300,7000102300,,FASTENER KIT INJECTION UNIT - 1520,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
7000102600,7000102600,,FASTENER KIT INJECTION UNIT - 2350,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
7000100300,7000100300,,FASTENER KIT INJECTION UNIT - 280,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
7000100800,7000100800,,FASTENER KIT INJECTION UNIT - 420,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
7000101300,7000101300,,FASTENER KIT INJECTION UNIT - 635,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
7000101800,7000101800,,FASTENER KIT INJECTION UNIT - 905,BO,10,0,10,5,1,14,Sub-Assembly Area,85000,850000,DURING_ASSEMBLY
7230063100,7230063100,J-10307,GLIDE RING - 100 X 84.5 X 6.3,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7230063110,7230063110,J-10308,GLIDE RING - 110 X 94.5 X 6.3,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7230063125,7230063125,J-10309,GLIDE RING - 125 X 109.5 X 6.3,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7230063140,7230063140,J-10310,GLIDE RING - 140 X 124.5 X 6.3,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7230081165,7230081165,J-10311,GLIDE RING - 165 X 144 X 8.1,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7230081190,7230081190,J-10312,GLIDE RING - 190 X 169 X 8.1,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7240097105,7240097105,J-10216,GUIDE RING - 105 X 110 X 9.7,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7240097120,7240097120,J-10217,GUIDE RING - 120X125X9.7,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7240097135,7240097135,J-10218,GUIDE RING - 135 X 140 X 9.7,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7240015160,7240015160,J-10219,GUIDE RING - 160 X 165 X 15,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7240015185,7240015185,J-10220,GUIDE RING - 185 X 190 X 15,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7240097050,7240097050,J-10204,GUIDE RING - 50 X 55 X 9.7,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7240097060,7240097060,J-10221,GUIDE RING - 60 X 65 X 9.7,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7240015060,7240015060,J-10210,GUIDE RING - 60 X6 5 X 15,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7240015070,7240015070,J-10211,GUIDE RING - 70 X 75 X 15,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7240097070,7240097070,J-10222,GUIDE RING - 70 X 75 X 9.7,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7240015075,7240015075,J-10212,GUIDE RING - 75 X 80 X 15,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7240097075,7240097075,J-10208,GUIDE RING - 75 X 80 X 9.7,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7240015080,7240015080,J-10213,GUIDE RING - 80 X 85 X 15,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7240097080,7240097080,J-10209,GUIDE RING - 80 X 85 X 9.7,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7240097095,7240097095,J-10215,GUIDE RING - 95 X 100 X 9.7,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7340100100,7340100100,G-10008,HYDRAULIC PIPE CLAMP - 20 MM,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7340100200,7340100200,,HYDRAULIC PIPE CLAMP - 25 MM,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7340100300,7340100300,,HYDRAULIC PIPE CLAMP - 30 MM,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6220200100,6220200100,E-10152,LIMIT SWITCH ROLLER LEVER - FTN-139Z11,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6220100100,6220100100,E-10151,LIMIT SWITCH SNAP ACTION - PC 603,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6210100100,6210100100,E-10005,LINEAR LT-M-100,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6210100130,6210100130,E-10006,LINEAR LT-M-130,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6210100150,6210100150,,LINEAR LT-M-150,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6210100175,6210100175,E-10008,LINEAR LT-M-175,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6210100200,6210100200,E-10009,LINEAR LT-M-200,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6210100225,6210100225,E-10010,LINEAR LT-M-225,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6210100275,6210100275,E-10011,LINEAR LT-M-275,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6210100300,6210100300,E-10012,LINEAR LT-M-300,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6210100350,6210100350,E-10014,LINEAR LT-M-350,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6210100375,6210100375,E-10015,LINEAR LT-M-375,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6210100425,6210100425,E-10017,LINEAR LT-M-450,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
7330200100,7330200100,,MOTOR MOUNTING PAD Ø60 X M10 X 40LG,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
7290005100,7290005100,J-10114,O RING - 100 X 5 (O RING-100.97X5.33),BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7290005115,7290005115,,O RING - 115 X 5 (O RING- 113.84X5.33),BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7290005130,7290005130,J-10116,O RING - 130 X 5 (O RING- 129.54X5.33),BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7290006150,7290006150,J-10117,O RING - 150 X 6 (O RING-151.77 X5.33),BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7290006175,7290006175,J-10118,O RING - 175 X 6 (O RING-177.17 X5.33),BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7290003040,7290003040,J-10104,O RING - 40 X 3 (O RING- 45.69X2.62),BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7290004050,7290004050,J-10105,O RING - 50 X 4 (O RING- 53.57X3.53),BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7290004060,7290004060,J-10107,O RING - 60 X 4 (63.09X3.53),BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7290004065,7290004065,J-10108,O RING - 65 X 4 (O RING- 69.44X3.53),BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7290004070,7290004070,J-10109,O RING - 70 X 4 (O RING- 72.62X3.53),BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7290005090,7290005090,J-10122,O RING - 90 X 5 (O RING-91.67X3.53),BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6030100200,6030100200,,PANEL SERVO-110 B&R,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6030100300,6030100300,,PANEL SERVO-140 B&R,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6030100400,6030100400,,PANEL SERVO-170 B&R,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6030100500,6030100500,,PANEL SERVO-200 B&R,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6020100100,6020100100,E-10176,PANEL SERVO-90 B&R,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6030100100,6030100100,,PANEL SERVO-90-280 B&R,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6180200100,6180200100,D-10110,PILOT OPERATED CHECK VALVE - MCIV-06-01 (PRISM HYD),BO,10,0,10,5,1,12,Hydraulics Bay H-01,14500,145000,ON_GRN
6180100100,6180100100,D-10101,PILOT OPERATED CHECK VALVE - MPA-01-4-40H01 (YUKEN),BO,10,0,10,5,1,12,Hydraulics Bay H-01,14500,145000,ON_GRN
7910500100,7910500100,,PLASTIC CAN HDPE-3 LITER (WHITE),BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6240100100,6240100100,D-10201,"PRESSURE GAUG 0-420 BAR BACK CONNECTION (2-1/2"")",BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6170100100,6170100100,D-10302,PRESSURE RELIEF VALVE - BG-03-HP32 (YUKEN),BO,10,0,10,5,1,12,Hydraulics Bay H-01,14500,145000,ON_GRN
6170100200,6170100200,D-10301,PRESSURE RELIEF VALVE - BG-06-P32 (YUKEN),BO,10,0,10,5,1,12,Hydraulics Bay H-01,14500,145000,ON_GRN
7270072090,7270072090,,PU WIPER SEAL  - 90 X 102.2 X 7.2/12,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7270053060,7270053060,J-10005,PU WIPER SEAL - 60 X 68.6 X 5.3/7,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7270053065,7270053065,J-10006,PU WIPER SEAL - 65 X 73.6 X 5.3/7,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7270053070,7270053070,J-10007,PU WIPER SEAL - 70 X 78.6 X 5.3/7,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7270053075,7270053075,J-10008,PU WIPER SEAL - 75 X 83.2 X 5.3/7,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7270053080,7270053080,J-10009,PU WIPER SEAL - 80 X 88.6 X 5.3/7,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7270072095,7270072095,,PU WIPER SEAL - 95 X 107.2 X 7.2/12,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7270053050,7270053050,J-10004,PU WIPER SEAL 50 X58.6 X 5.3/7,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7280105125,7280105125,J-10452,RADIAL OIL SEAL - 105 X 125 X 12,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7280110130,7280110130,J-10453,RADIAL OIL SEAL - 110 X 130 X 12,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7280115140,7280115140,J-10454,RADIAL OIL SEAL - 115 X 140 X 12,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7280145175,7280145175,J-10455,RADIAL OIL SEAL - 145 X 175 X 12,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7280095115,7280095115,J-10451,RADIAL OIL SEAL - 95 X 115 X 12,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7260073050,7260073050,J-10054,ROD SEAL - 50 X 60 X 7.3,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7260010060,7260010060,J-10055,ROD SEAL - 60 X 70 X 10,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7260114070,7260114070,J-10056,ROD SEAL - 70 X 85 X 11.4,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7260012075,7260012075,J-10057,ROD SEAL - 75 X 85 X 12,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7260114080,7260114080,J-10058,ROD SEAL - 80 X 95 X 11.4,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
6010400200,6010400200,,SERVO SYSTEM - 100 LPM (JAKSH),BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6010400300,6010400300,,SERVO SYSTEM - 140 LPM (JAKSH),BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6010400400,6010400400,,SERVO SYSTEM - 180 LPM (JAKSH),BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6010400100,6010400100,,SERVO SYSTEM - 64 LPM (JAKSH),BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
7190105900,7190105900,,"SRDG BALL BEARING,6205-ZZ",BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7250042050,7250042050,J-10354,STEP SEAL - 50 X 61 X 4.2,BO,10,0,10,5,1,7,Standard Bought-out Store,850,8500,ON_GRN
7200100100,7200100100,G-10005,TAPER ROLLER BEARING-32014,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7200100200,7200100200,G-10006,TAPER ROLLER BEARING-32216,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7200100300,7200100300,G-10203,TAPER ROLLER BEARING-32218,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7200100400,7200100400,G-10204,TAPER ROLLER BEARING-32219,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7200100500,7200100500,G-10205,TAPER ROLLER BEARING-32220,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7200100600,7200100600,G-10206,TAPER ROLLER BEARING-32222,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
7200100700,7200100700,G-10207,TAPER ROLLER BEARING-32226,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6141200100,6141200100,,"THERMO COUPLE SENSOR
BUTTERFLY TYPE 1/4 BSP K TYPE ISOLATED 1.5 MTR",BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6141200200,6141200200,,"THERMO COUPLE SENSOR
BUTTERFLY TYPE 1/4 BSP K TYPE ISOLATED 2 MTR",BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6141100100,6141100100,,"THERMO COUPLE SENSOR 
(K TYPE L SHAPE ISOLATED 1 MTR)",BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6141100200,6141100200,,"THERMO COUPLE SENSOR 
(K TYPE L SHAPE ISOLATED 1.5 MTR)",BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6110100300,6110100300,D-10326,TORQUE PISTON MOTOR TMDG 2-200 S18,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6110100400,6110100400,,TORQUE PISTON MOTOR TMDG 3-300 S18,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6110100500,6110100500,,TORQUE PISTON MOTOR TMDG 3-400 S18,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6110100600,6110100600,,TORQUE PISTON MOTOR TMDG 6-500 S28,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6110100700,6110100700,,TORQUE PISTON MOTOR TMDG 8-800B,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6110100100,6110100100,,TORQUE PISTON MOTOR TMP-160,BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6110100200,6110100200,,TORQUE PISTON MOTOR TMP-315 (170-200),BO,10,0,10,5,1,14,Electrical Store E-01,28000,280000,ON_GRN
6150100300,6150100300,I-10106,Ø105x145 CERAMIC HEATER WITH COVER,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6150200300,6150200300,I-10107,Ø105x40 MICA HEATER,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6150100400,6150100400,I-10109,Ø125x130 CERAMIC HEATER WITH COVER,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6150200400,6150200400,I-10110,Ø125x40 MICA HEATER,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6150100500,6150100500,I-10112,Ø135x150 CERAMIC HEATER WITH COVER,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6150200500,6150200500,I-10113,Ø135x60 MICA HEATER,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6150400100,6150400100,I-10129,Ø30x30 COIL HEATER,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6150200600,6150200600,I-10102,Ø40x40 MICA HEATER,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6150300100,6150300100,I-10121,Ø50x40 MICA HEATER SIDE CUT,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6150300300,6150300300,I-10123,Ø60x60 MICA HEATER SIDE CUT,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6150300400,6150300400,I-10124,Ø75x50 MICA HEATER SIDE CUT,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6150100100,6150100100,I-10101,Ø85x115 CERAMIC HEATER WITH COVER,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6150200100,6150200100,I-10128,Ø85x30 MICA HEATER,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6150100200,6150100200,I-10103,Ø95x130 CERAMIC HEATER WITH COVER,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
6150200200,6150200200,I-10104,Ø95x40 MICA HEATER,BO,10,0,10,5,1,10,Central Store,2500,25000,ON_GRN
1000310400,1000310400,10001,NEO PRIME 110 - 420 TON (INJECTION UNIT GUIDE ROD TYPE),FG,1,0,1,1,1,30,Dispatch Bay,1800000,1800000,ON_GRN
1000310700,1000310700,10002,NEO PRIME 140 - 635 TON (INJECTION UNIT GUIDE ROD TYPE),FG,1,0,1,1,1,30,Dispatch Bay,2200000,2200000,ON_GRN
1000311000,1000311000,10003,NEO PRIME 170 - 905 TON (INJECTION UNIT GUIDE ROD TYPE),FG,1,0,1,1,1,35,Dispatch Bay,2600000,2600000,ON_GRN
1000311300,1000311300,10004,NEO PRIME 200 - 1520 TON (INJECTION UNIT GUIDE ROD TYPE),FG,1,0,1,1,1,35,Dispatch Bay,3100000,3100000,ON_GRN
1000310100,1000310100,10000,NEO PRIME 90 - 280 TON (INJECTION UNIT GUIDE ROD TYPE),FG,1,0,1,1,1,30,Dispatch Bay,1500000,1500000,ON_GRN
5000798896,5000798896,,DIRECTION CONTROL VALVE - 4 WEH 16 E7,HY,4,0,4,2,1,12,Hydraulics Bay H-01,14500,58000,ON_GRN
5000161261,5000161261,,DIRECTION CONTROL VALVE - 4 WEH 16 EA,HY,4,0,4,2,1,12,Hydraulics Bay H-01,14500,58000,ON_GRN
5000229258,5000229258,,DIRECTION CONTROL VALVE - 4 WEH 16 L7,HY,4,0,4,2,1,12,Hydraulics Bay H-01,14500,58000,ON_GRN
5000274291,5000274291,,DSG-01-2B2B-D24 (YUKEN),HY,4,0,4,2,1,12,Hydraulics Bay H-01,14500,58000,ON_GRN
5000743850,5000743850,,DSG-01-3C2-D24 (YUKEN),HY,4,0,4,2,1,12,Hydraulics Bay H-01,14500,58000,ON_GRN
5000614679,5000614679,,DSG-01-3C4-D24 (YUKEN),HY,4,0,4,2,1,12,Hydraulics Bay H-01,14500,58000,ON_GRN
5000969214,5000969214,,DSG-03-2B10B-D24 (YUKEN),HY,4,0,4,2,1,12,Hydraulics Bay H-01,14500,58000,ON_GRN
5000916177,5000916177,,DSG-03-3C12-D24 (YUKEN),HY,4,0,4,2,1,12,Hydraulics Bay H-01,14500,58000,ON_GRN
5000684353,5000684353,,DSG-03-3C2-D24 (YUKEN),HY,4,0,4,2,1,12,Hydraulics Bay H-01,14500,58000,ON_GRN
5000707760,5000707760,,DSG-03-3C4-D24 (YUKEN),HY,4,0,4,2,1,12,Hydraulics Bay H-01,14500,58000,ON_GRN
5000574550,5000574550,,PILOT OPERATED CHECK VALVE - MCIV-06-01 (PRISM HYD),HY,4,0,4,2,1,12,Hydraulics Bay H-01,14500,58000,ON_GRN
5000485820,5000485820,,PILOT OPERATED CHECK VALVE - MPA-01-4-40H01 (YUKEN),HY,4,0,4,2,1,12,Hydraulics Bay H-01,14500,58000,ON_GRN
5000212478,5000212478,,PILOT OPERATED CHECK VALVE - MPA-03-4-20H01 (YUKEN),HY,4,0,4,2,1,12,Hydraulics Bay H-01,14500,58000,ON_GRN
5000357030,5000357030,,PRESSURE RELIEF VALVE - BG-03-HP32 (YUKEN),HY,4,0,4,2,1,12,Hydraulics Bay H-01,14500,58000,ON_GRN
5000235793,5000235793,,PRESSURE RELIEF VALVE - BG-06-P32 (YUKEN),HY,4,0,4,2,1,12,Hydraulics Bay H-01,14500,58000,ON_GRN
3131100500,3131100500,A-10068,CROSS HEAD LOCKING LIMIT STOP PIN MTG BRACKET,LC,4,0,4,2,1,5,Hardware Bins,150,600,NO_QC
3131100700,3131100700,A-10345,EJECTOR LINEAR MTG BRACKET,LC,4,0,4,2,1,14,Electrical Store E-01,28000,112000,ON_GRN
3130800300,3130800300,A-10707,HEATER WIRE JUNCTION BOX COVER,LC,4,0,4,2,1,10,Central Store,2500,10000,ON_GRN
3131100800,3131100800,A-10587,HEATER WIRE JUNCTION BOX MTG BRACKET,LC,4,0,4,2,1,10,Central Store,2500,10000,ON_GRN
3131000400,3131000400,A-10050,HYD MOTOR PROX SENSOR MTG - 1520,LC,4,0,4,2,1,14,Electrical Store E-01,28000,112000,ON_GRN
3131000500,3131000500,A-10052,HYD MOTOR PROX SENSOR MTG - 2350,LC,4,0,4,2,1,14,Electrical Store E-01,28000,112000,ON_GRN
3131000100,3131000100,A-10046,HYD MOTOR PROX SENSOR MTG - 280,LC,4,0,4,2,1,14,Electrical Store E-01,28000,112000,ON_GRN
3131000200,3131000200,A-10047,HYD MOTOR PROX SENSOR MTG - 635,LC,4,0,4,2,1,14,Electrical Store E-01,28000,112000,ON_GRN
3131000300,3131000300,A-10049,HYD MOTOR PROX SENSOR MTG - 905,LC,4,0,4,2,1,14,Electrical Store E-01,28000,112000,ON_GRN
3131100900,3131100900,A-10123,HYD MOTOR RPM PROXY SENSOR MTG BRACKET,LC,4,0,4,2,1,14,Electrical Store E-01,28000,112000,ON_GRN
3131300500,3131300500,A-10602,INJECTION GUARD SUPPORT BRACKET - 1520,LC,4,0,4,2,1,10,Central Store,2500,10000,ON_GRN
3131300100,3131300100,A-10497,INJECTION GUARD SUPPORT BRACKET - 280,LC,4,0,4,2,1,10,Central Store,2500,10000,ON_GRN
3131300200,3131300200,A-10496,INJECTION GUARD SUPPORT BRACKET - 420,LC,4,0,4,2,1,10,Central Store,2500,10000,ON_GRN
3131300300,3131300300,A-10600,INJECTION GUARD SUPPORT BRACKET - 635,LC,4,0,4,2,1,10,Central Store,2500,10000,ON_GRN
3131300400,3131300400,A-10601,INJECTION GUARD SUPPORT BRACKET - 905,LC,4,0,4,2,1,10,Central Store,2500,10000,ON_GRN
3131101700,3131101700,A-10062,INJECTION LINEAR MOUNTING BRACKET - 1520,LC,4,0,4,2,1,14,Electrical Store E-01,28000,112000,ON_GRN
